query_id,user_query,category,expected_document,expected_document_id,expected_citation,expected_section,expected_page_number,expected_answer,supporting_chunk_ids,difficulty
Q-ACT-014,What is the definition of the term described in General Section? [Context: ACT-03_CHUNK-0194_SUB-2_SUB-3_SUB-11],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-03_CHUNK-0194_SUB-2_SUB-3_SUB-11 from UNKNOWN.,ACT-03_CHUNK-0194_SUB-2_SUB-3_SUB-11,Easy
Q-ACT-015,What does Acts / Statutes Citation state regarding its core provisions? [Context: ACT-07_CHUNK-4669],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-4669 from UNKNOWN.,ACT-07_CHUNK-4669,Easy
Q-ACT-016,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: ACT-07_CHUNK-0035_SUB-35]",Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-0035_SUB-35 from UNKNOWN.,ACT-07_CHUNK-0035_SUB-35,Easy
Q-ACT-017,Explain the requirements found in General Section of UNKNOWN. [Context: ACT-07_CHUNK-8265],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-8265 from UNKNOWN.,ACT-07_CHUNK-8265,Medium
Q-ACT-018,What does Acts / Statutes Citation state regarding its core provisions? [Context: ACT-04_CHUNK-0766_SUB-5],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-04_CHUNK-0766_SUB-5 from UNKNOWN.,ACT-04_CHUNK-0766_SUB-5,Hard
Q-ACT-019,Can you summarize the legal concept discussed in Acts / Statutes Citation? [Context: ACT-09_CHUNK-0444_SUB-5],Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-09_CHUNK-0444_SUB-5 from UNKNOWN.,ACT-09_CHUNK-0444_SUB-5,Medium
Q-ACT-020,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: ACT-07_CHUNK-5643_SUB-1]",Acts / Statutes,UNKNOWN,UNKNOWN,Acts / Statutes Citation,General Section,1,The expected answer is directly supported by the text in chunk ACT-07_CHUNK-5643_SUB-1 from UNKNOWN.,ACT-07_CHUNK-5643_SUB-1,Medium
Q-COU-001,What is the definition of the term described in General Section? [Context: JUDG-17_CHUNK-0002],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-17_CHUNK-0002 from UNKNOWN.,JUDG-17_CHUNK-0002,Hard
Q-COU-002,What is the definition of the term described in General Section? [Context: JUDG-03_CHUNK-0001_SUB-4_SUB-13],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-03_CHUNK-0001_SUB-4_SUB-13 from UNKNOWN.,JUDG-03_CHUNK-0001_SUB-4_SUB-13,Hard
Q-COU-003,What does Court Judgments Citation state regarding its core provisions? [Context: JUDG-20_CHUNK-0001_SUB-3_SUB-10],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-20_CHUNK-0001_SUB-3_SUB-10 from UNKNOWN.,JUDG-20_CHUNK-0001_SUB-3_SUB-10,Medium
Q-COU-004,What does Court Judgments Citation state regarding its core provisions? [Context: JUDG-03_CHUNK-0001_SUB-1_SUB-5_SUB-9_SUB-46],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-03_CHUNK-0001_SUB-1_SUB-5_SUB-9_SUB-46 from UNKNOWN.,JUDG-03_CHUNK-0001_SUB-1_SUB-5_SUB-9_SUB-46,Hard
Q-COU-005,Explain the requirements found in General Section of UNKNOWN. [Context: JUDG-09_CHUNK-0001_SUB-6_SUB-74],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-09_CHUNK-0001_SUB-6_SUB-74 from UNKNOWN.,JUDG-09_CHUNK-0001_SUB-6_SUB-74,Easy
Q-COU-006,Explain the requirements found in General Section of UNKNOWN. [Context: JUDG-09_CHUNK-0001_SUB-6_SUB-63],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-09_CHUNK-0001_SUB-6_SUB-63 from UNKNOWN.,JUDG-09_CHUNK-0001_SUB-6_SUB-63,Medium
Q-COU-007,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: JUDG-22_CHUNK-0001_SUB-5_SUB-31]",Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-22_CHUNK-0001_SUB-5_SUB-31 from UNKNOWN.,JUDG-22_CHUNK-0001_SUB-5_SUB-31,Easy
Q-COU-008,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: JUDG-17_CHUNK-0001]",Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-17_CHUNK-0001 from UNKNOWN.,JUDG-17_CHUNK-0001,Medium
Q-COU-009,Explain the requirements found in General Section of UNKNOWN. [Context: JUDG-20_CHUNK-0001_SUB-3_SUB-44],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-20_CHUNK-0001_SUB-3_SUB-44 from UNKNOWN.,JUDG-20_CHUNK-0001_SUB-3_SUB-44,Hard
Q-COU-010,What does Court Judgments Citation state regarding its core provisions? [Context: JUDG-22_CHUNK-0001_SUB-5_SUB-47],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-22_CHUNK-0001_SUB-5_SUB-47 from UNKNOWN.,JUDG-22_CHUNK-0001_SUB-5_SUB-47,Medium
Q-COU-011,Explain the requirements found in General Section of UNKNOWN. [Context: JUDG-09_CHUNK-0001_SUB-6_SUB-43],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-09_CHUNK-0001_SUB-6_SUB-43 from UNKNOWN.,JUDG-09_CHUNK-0001_SUB-6_SUB-43,Hard
Q-COU-012,Explain the requirements found in General Section of UNKNOWN. [Context: JUDG-04_CHUNK-0001_SUB-14],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-04_CHUNK-0001_SUB-14 from UNKNOWN.,JUDG-04_CHUNK-0001_SUB-14,Easy
Q-COU-013,What does Court Judgments Citation state regarding its core provisions? [Context: JUDG-09_CHUNK-0001_SUB-6_SUB-52],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-09_CHUNK-0001_SUB-6_SUB-52 from UNKNOWN.,JUDG-09_CHUNK-0001_SUB-6_SUB-52,Easy
Q-COU-014,Can you summarize the legal concept discussed in Court Judgments Citation? [Context: JUDG-05_CHUNK-0001_SUB-2_SUB-1],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-05_CHUNK-0001_SUB-2_SUB-1 from UNKNOWN.,JUDG-05_CHUNK-0001_SUB-2_SUB-1,Medium
Q-COU-015,What is the definition of the term described in General Section? [Context: JUDG-15_CHUNK-0001_SUB-1_SUB-21],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-15_CHUNK-0001_SUB-1_SUB-21 from UNKNOWN.,JUDG-15_CHUNK-0001_SUB-1_SUB-21,Hard
Q-COU-016,Can you summarize the legal concept discussed in Court Judgments Citation? [Context: JUDG-07_CHUNK-0001_SUB-1],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-07_CHUNK-0001_SUB-1 from UNKNOWN.,JUDG-07_CHUNK-0001_SUB-1,Medium
Q-COU-017,What does Court Judgments Citation state regarding its core provisions? [Context: JUDG-25_CHUNK-0001_SUB-9_SUB-16],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-25_CHUNK-0001_SUB-9_SUB-16 from UNKNOWN.,JUDG-25_CHUNK-0001_SUB-9_SUB-16,Hard
Q-COU-018,Explain the requirements found in General Section of UNKNOWN. [Context: JUDG-08_CHUNK-0001_SUB-7_SUB-21],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-08_CHUNK-0001_SUB-7_SUB-21 from UNKNOWN.,JUDG-08_CHUNK-0001_SUB-7_SUB-21,Medium
Q-COU-019,What is the definition of the term described in General Section? [Context: JUDG-05_CHUNK-0001_SUB-2_SUB-12],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-05_CHUNK-0001_SUB-2_SUB-12 from UNKNOWN.,JUDG-05_CHUNK-0001_SUB-2_SUB-12,Easy
Q-COU-020,Explain the requirements found in General Section of UNKNOWN. [Context: JUDG-12_CHUNK-0001_SUB-19],Court Judgments,UNKNOWN,UNKNOWN,Court Judgments Citation,General Section,1,The expected answer is directly supported by the text in chunk JUDG-12_CHUNK-0001_SUB-19 from UNKNOWN.,JUDG-12_CHUNK-0001_SUB-19,Medium
Q-IRS-001,What is the definition of the term described in General Section? [Context: IRS-11_CHUNK-0498],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-11_CHUNK-0498 from UNKNOWN.,IRS-11_CHUNK-0498,Medium
Q-IRS-002,Can you summarize the legal concept discussed in IRS Publications Citation? [Context: IRS-08_CHUNK-0326],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-08_CHUNK-0326 from UNKNOWN.,IRS-08_CHUNK-0326,Hard
Q-IRS-003,Explain the requirements found in General Section of UNKNOWN. [Context: IRS-05_CHUNK-0304],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-05_CHUNK-0304 from UNKNOWN.,IRS-05_CHUNK-0304,Hard
Q-IRS-004,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: IRS-24_CHUNK-0048]",IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-24_CHUNK-0048 from UNKNOWN.,IRS-24_CHUNK-0048,Hard
Q-IRS-005,What is the definition of the term described in General Section? [Context: IRS-13_CHUNK-0100],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-13_CHUNK-0100 from UNKNOWN.,IRS-13_CHUNK-0100,Easy
Q-IRS-006,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: IRS-02_CHUNK-0113]",IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-02_CHUNK-0113 from UNKNOWN.,IRS-02_CHUNK-0113,Easy
Q-IRS-007,What does IRS Publications Citation state regarding its core provisions? [Context: IRS-10_CHUNK-0136],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-10_CHUNK-0136 from UNKNOWN.,IRS-10_CHUNK-0136,Hard
Q-IRS-008,What does IRS Publications Citation state regarding its core provisions? [Context: IRS-15_CHUNK-0080],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-15_CHUNK-0080 from UNKNOWN.,IRS-15_CHUNK-0080,Easy
Q-IRS-009,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: IRS-06_CHUNK-1099]",IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-06_CHUNK-1099 from UNKNOWN.,IRS-06_CHUNK-1099,Easy
Q-IRS-010,What is the definition of the term described in General Section? [Context: IRS-11_CHUNK-0361],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-11_CHUNK-0361 from UNKNOWN.,IRS-11_CHUNK-0361,Hard
Q-IRS-011,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: IRS-11_CHUNK-0214]",IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-11_CHUNK-0214 from UNKNOWN.,IRS-11_CHUNK-0214,Easy
Q-IRS-012,Can you summarize the legal concept discussed in IRS Publications Citation? [Context: IRS-22_CHUNK-0011],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-22_CHUNK-0011 from UNKNOWN.,IRS-22_CHUNK-0011,Easy
Q-IRS-013,What is the definition of the term described in General Section? [Context: IRS-09_CHUNK-0082],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-09_CHUNK-0082 from UNKNOWN.,IRS-09_CHUNK-0082,Easy
Q-IRS-014,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: IRS-03_CHUNK-0012]",IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-03_CHUNK-0012 from UNKNOWN.,IRS-03_CHUNK-0012,Easy
Q-IRS-015,Can you summarize the legal concept discussed in IRS Publications Citation? [Context: IRS-05_CHUNK-1250],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-05_CHUNK-1250 from UNKNOWN.,IRS-05_CHUNK-1250,Hard
Q-IRS-016,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: IRS-13_CHUNK-0166]",IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-13_CHUNK-0166 from UNKNOWN.,IRS-13_CHUNK-0166,Hard
Q-IRS-017,Can you summarize the legal concept discussed in IRS Publications Citation? [Context: IRS-25_CHUNK-0377],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-25_CHUNK-0377 from UNKNOWN.,IRS-25_CHUNK-0377,Hard
Q-IRS-018,Can you summarize the legal concept discussed in IRS Publications Citation? [Context: IRS-20_CHUNK-0038],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-20_CHUNK-0038 from UNKNOWN.,IRS-20_CHUNK-0038,Hard
Q-IRS-019,What does IRS Publications Citation state regarding its core provisions? [Context: IRS-11_CHUNK-0217],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-11_CHUNK-0217 from UNKNOWN.,IRS-11_CHUNK-0217,Hard
Q-IRS-020,What is the definition of the term described in General Section? [Context: IRS-11_CHUNK-0094],IRS Publications,UNKNOWN,UNKNOWN,IRS Publications Citation,General Section,1,The expected answer is directly supported by the text in chunk IRS-11_CHUNK-0094 from UNKNOWN.,IRS-11_CHUNK-0094,Easy
Q-TRE-001,What is the definition of the term described in General Section? [Context: REG-08_CHUNK-0106],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-08_CHUNK-0106 from UNKNOWN.,REG-08_CHUNK-0106,Medium
Q-TRE-002,Can you summarize the legal concept discussed in Treasury Regulations Citation? [Context: REG-06_CHUNK-2013_SUB-4],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-06_CHUNK-2013_SUB-4 from UNKNOWN.,REG-06_CHUNK-2013_SUB-4,Hard
Q-TRE-003,Explain the requirements found in General Section of UNKNOWN. [Context: REG-01_CHUNK-1097],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-01_CHUNK-1097 from UNKNOWN.,REG-01_CHUNK-1097,Hard
Q-TRE-004,What is the definition of the term described in General Section? [Context: REG-06_CHUNK-1804],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-06_CHUNK-1804 from UNKNOWN.,REG-06_CHUNK-1804,Medium
Q-TRE-005,Explain the requirements found in General Section of UNKNOWN. [Context: REG-03_CHUNK-0389],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-03_CHUNK-0389 from UNKNOWN.,REG-03_CHUNK-0389,Medium
Q-TRE-006,Explain the requirements found in General Section of UNKNOWN. [Context: REG-03_CHUNK-0327_SUB-3],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-03_CHUNK-0327_SUB-3 from UNKNOWN.,REG-03_CHUNK-0327_SUB-3,Hard
Q-TRE-007,Can you summarize the legal concept discussed in Treasury Regulations Citation? [Context: REG-04_CHUNK-1065_SUB-1_SUB-1],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-04_CHUNK-1065_SUB-1_SUB-1 from UNKNOWN.,REG-04_CHUNK-1065_SUB-1_SUB-1,Medium
Q-TRE-008,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: REG-10_CHUNK-2133]",Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-10_CHUNK-2133 from UNKNOWN.,REG-10_CHUNK-2133,Easy
Q-TRE-009,What does Treasury Regulations Citation state regarding its core provisions? [Context: REG-13_CHUNK-2963],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-13_CHUNK-2963 from UNKNOWN.,REG-13_CHUNK-2963,Easy
Q-TRE-010,What does Treasury Regulations Citation state regarding its core provisions? [Context: REG-15_CHUNK-3044],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-15_CHUNK-3044 from UNKNOWN.,REG-15_CHUNK-3044,Medium
Q-TRE-011,Explain the requirements found in General Section of UNKNOWN. [Context: REG-08_CHUNK-1252_SUB-5],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-08_CHUNK-1252_SUB-5 from UNKNOWN.,REG-08_CHUNK-1252_SUB-5,Medium
Q-TRE-012,Explain the requirements found in General Section of UNKNOWN. [Context: REG-10_CHUNK-0759_SUB-1_SUB-13],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-10_CHUNK-0759_SUB-1_SUB-13 from UNKNOWN.,REG-10_CHUNK-0759_SUB-1_SUB-13,Easy
Q-TRE-013,What does Treasury Regulations Citation state regarding its core provisions? [Context: REG-13_CHUNK-0216_SUB-5_SUB-34],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-13_CHUNK-0216_SUB-5_SUB-34 from UNKNOWN.,REG-13_CHUNK-0216_SUB-5_SUB-34,Easy
Q-TRE-014,Explain the requirements found in General Section of UNKNOWN. [Context: REG-03_CHUNK-0670_SUB-2],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-03_CHUNK-0670_SUB-2 from UNKNOWN.,REG-03_CHUNK-0670_SUB-2,Medium
Q-TRE-015,What does Treasury Regulations Citation state regarding its core provisions? [Context: REG-06_CHUNK-1442_SUB-1_SUB-1_SUB-38],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-06_CHUNK-1442_SUB-1_SUB-1_SUB-38 from UNKNOWN.,REG-06_CHUNK-1442_SUB-1_SUB-1_SUB-38,Medium
Q-TRE-016,Explain the requirements found in General Section of UNKNOWN. [Context: REG-06_CHUNK-2053_SUB-2],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-06_CHUNK-2053_SUB-2 from UNKNOWN.,REG-06_CHUNK-2053_SUB-2,Hard
Q-TRE-017,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: REG-05_CHUNK-0401]",Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-05_CHUNK-0401 from UNKNOWN.,REG-05_CHUNK-0401,Hard
Q-TRE-018,Can you summarize the legal concept discussed in Treasury Regulations Citation? [Context: REG-08_CHUNK-1120],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-08_CHUNK-1120 from UNKNOWN.,REG-08_CHUNK-1120,Medium
Q-TRE-019,What is the definition of the term described in General Section? [Context: REG-12_CHUNK-0434],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-12_CHUNK-0434 from UNKNOWN.,REG-12_CHUNK-0434,Hard
Q-TRE-020,What is the definition of the term described in General Section? [Context: REG-06_CHUNK-0319],Treasury Regulations,UNKNOWN,UNKNOWN,Treasury Regulations Citation,General Section,1,The expected answer is directly supported by the text in chunk REG-06_CHUNK-0319 from UNKNOWN.,REG-06_CHUNK-0319,Medium
Q-LEG-001,Explain the requirements found in General Section of UNKNOWN. [Context: COM-02_CHUNK-0425],Legal Commentary,UNKNOWN,UNKNOWN,Legal Commentary Citation,General Section,1,The expected answer is directly supported by the text in chunk COM-02_CHUNK-0425 from UNKNOWN.,COM-02_CHUNK-0425,Easy
Q-LEG-002,"According to UNKNOWN, what are the specific rules mentioned on page 1? [Context: COM-02_CHUNK-0217]",Legal Commentary,UNKNOWN,UNKNOWN,Legal Commentary Citation,General Section,1,The expected answer is directly supported by the text in chunk COM-02_CHUNK-0217 from UNKNOWN.,COM-02_CHUNK-0217,Hard
Q-LEG-003,What does Legal Commentary Citation state regarding its core provisions? [Context: COM-02_CHUNK-0024],Legal Commentary,UNKNOWN,UNKNOWN,Legal Commentary Citation,General Section,1,The expected answer is directly supported by the text in chunk COM-02_CHUNK-0024 from UNKNOWN.,COM-02_CHUNK-0024,Easy
