QueryID,Category,Success,Top1,Top5,MRR,Faithfulness,CitationAcc,LatencyMs,ErrorCategory
Q-LEG-011,Legal Commentary,True,0,0,1.0,0.5,1.0,103.87377738952637,Wrong Retrieval
Q-LEG-012,Legal Commentary,True,0,0,1.0,0.5,1.0,105.55319786071777,Wrong Retrieval
Q-LEG-013,Legal Commentary,True,0,0,1.0,0.5,1.0,105.53054809570312,Wrong Retrieval
Q-LEG-014,Legal Commentary,True,0,0,1.0,0.5,1.0,104.32534217834473,Wrong Retrieval
Q-LEG-015,Legal Commentary,True,0,0,1.0,0.5,1.0,103.87043952941895,Wrong Retrieval
Q-LEG-016,Legal Commentary,True,0,0,1.0,0.5,1.0,110.24336814880371,Wrong Retrieval
Q-LEG-017,Legal Commentary,True,0,0,1.0,0.5,1.0,114.08834457397461,Wrong Retrieval
Q-LEG-018,Legal Commentary,True,0,0,1.0,0.5,1.0,100.85372924804688,Wrong Retrieval
Q-LEG-019,Legal Commentary,True,0,0,1.0,0.5,1.0,105.81426620483398,Wrong Retrieval
Q-LEG-020,Legal Commentary,True,0,0,1.0,0.5,1.0,102.25920677185059,Wrong Retrieval
