query_id,query_type,ground_truth,assigned_category,notes
Q_BOOL_17,boolean,REG-03_CHUNK-1176,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_18,boolean,ACT-02_CHUNK-0778_SUB-3,Genuine retrieval failure,Auto-classified based on boolean failure patterns.
Q_BOOL_19,boolean,ACT-07_CHUNK-1704,Query generation issue,Auto-classified based on boolean failure patterns.
Q_META_0,metadata,ACT-09_CHUNK-0592,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_1,metadata,ACT-16_CHUNK-0856,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_2,metadata,ACT-07_CHUNK-0988_SUB-8,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_3,metadata,REG-08_CHUNK-1139_SUB-4,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_4,metadata,ACT-01_CHUNK-0036_SUB-10,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_5,metadata,REG-15_CHUNK-0006,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_6,metadata,REG-10_CHUNK-2161,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_7,metadata,REG-09_CHUNK-0272,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_8,metadata,REG-08_CHUNK-1130,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_9,metadata,ACT-07_CHUNK-2024,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_10,metadata,REG-04_CHUNK-0712,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_11,metadata,ACT-07_CHUNK-3429,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_12,metadata,ACT-04_CHUNK-0672,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_13,metadata,ACT-16_CHUNK-1303_SUB-9,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_14,metadata,REG-03_CHUNK-0339,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_15,metadata,IRS-17_CHUNK-0348,Wrong benchmark expectation,Auto-classified based on metadata failure patterns.
Q_META_16,metadata,ACT-16_CHUNK-0396_SUB-8,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_17,metadata,ACT-16_CHUNK-0978,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
Q_META_18,metadata,REG-05_CHUNK-0295_SUB-3,Metadata filtering issue,Auto-classified based on metadata failure patterns.
Q_META_19,metadata,IRS-06_CHUNK-0123,Correct document but wrong chunk,Auto-classified based on metadata failure patterns.
