query_id,query_type,ground_truth,retrieved_top_1,found_in_top_5,latency_s,max_cosine_score
Q_CONC_12,concept,IRS-06_CHUNK-1716,IRS-06_CHUNK-1716,True,0.0,0.0
Q_CONC_13,concept,REG-14_CHUNK-0322,REG-14_CHUNK-0322,True,0.0,0.0
Q_CONC_14,concept,ACT-07_CHUNK-7732,ACT-07_CHUNK-7732,True,0.0,0.0
Q_CONC_15,concept,ACT-09_CHUNK-0358,ACT-09_CHUNK-0358,True,0.0,0.0
Q_CONC_16,concept,ACT-09_CHUNK-0322,ACT-09_CHUNK-0322,True,0.0,0.0
Q_CONC_17,concept,REG-04_CHUNK-0702,REG-04_CHUNK-0702,True,0.0,0.0
Q_CONC_18,concept,ACT-07_CHUNK-3723_SUB-2,ACT-07_CHUNK-3723_SUB-2,True,0.0,0.0
Q_CONC_19,concept,ACT-16_CHUNK-0503_SUB-16_SUB-7,ACT-16_CHUNK-0503_SUB-16_SUB-7,True,0.0,0.0
Q_CONC_20,concept,REG-14_CHUNK-1088,REG-14_CHUNK-1088,True,0.0,0.0
Q_CONC_21,concept,REG-05_CHUNK-1168_SUB-3,REG-05_CHUNK-1168_SUB-3,True,0.0,0.0
Q_CONC_22,concept,ACT-07_CHUNK-3013,ACT-07_CHUNK-3013,True,0.0,0.0
Q_CONC_23,concept,ACT-20_CHUNK-0345,ACT-20_CHUNK-0345,True,0.0,0.0
Q_CONC_24,concept,ACT-09_CHUNK-0263_SUB-2_SUB-16_SUB-60,ACT-09_CHUNK-0263_SUB-2_SUB-16_SUB-60,True,0.0,0.0
Q_CIT_0,citation,REG-15_CHUNK-1475,REG-15_CHUNK-1475,True,0.0,0.0
Q_CIT_1,citation,REG-01_CHUNK-1456,REG-01_CHUNK-1456,True,0.0,0.0
Q_CIT_2,citation,ACT-07_CHUNK-9156,ACT-07_CHUNK-9156,True,0.0,0.0
Q_CIT_3,citation,ACT-07_CHUNK-3843,ACT-07_CHUNK-3843,True,0.0,0.0
Q_CIT_4,citation,REG-06_CHUNK-0696,REG-06_CHUNK-0696,True,0.0,0.0
Q_CIT_5,citation,ACT-04_CHUNK-0627_SUB-5,ACT-04_CHUNK-0627_SUB-5,True,0.0,0.0
Q_CIT_6,citation,REG-09_CHUNK-0157,REG-09_CHUNK-0157,True,0.0,0.0
Q_CIT_7,citation,REG-09_CHUNK-0783_SUB-1,REG-09_CHUNK-0783_SUB-1,True,0.0,0.0
Q_CIT_8,citation,REG-13_CHUNK-2424_SUB-4_SUB-4,REG-13_CHUNK-2424_SUB-4_SUB-4,True,0.0,0.0
Q_CIT_9,citation,REG-15_CHUNK-0122_SUB-16,REG-15_CHUNK-0122_SUB-16,True,0.0,0.0
Q_CIT_10,citation,ACT-07_CHUNK-0553,ACT-07_CHUNK-0553,True,0.0,0.0
Q_CIT_11,citation,ACT-18_CHUNK-0007,ACT-18_CHUNK-0007,True,0.0,0.0
Q_CIT_12,citation,REG-03_CHUNK-1106_SUB-6,REG-03_CHUNK-1106_SUB-6,True,0.0,0.0
Q_CIT_13,citation,ACT-14_CHUNK-0093,ACT-14_CHUNK-0093,True,0.0,0.0
Q_CIT_14,citation,IRS-03_CHUNK-0028,IRS-03_CHUNK-0028,True,0.0,0.0
Q_CIT_15,citation,REG-05_CHUNK-2114_SUB-10,REG-05_CHUNK-2114_SUB-10,True,0.0,0.0
Q_CIT_16,citation,REG-06_CHUNK-1440_SUB-3_SUB-24,REG-06_CHUNK-1440_SUB-3_SUB-24,True,0.0,0.0
Q_CIT_17,citation,REG-03_CHUNK-0732_SUB-7,REG-03_CHUNK-0732_SUB-7,True,0.0,0.0
Q_CIT_18,citation,REG-10_CHUNK-0656,REG-10_CHUNK-0656,True,0.0,0.0
Q_CIT_19,citation,IRS-20_CHUNK-0017,IRS-20_CHUNK-0017,True,0.0,0.0
Q_CIT_20,citation,ACT-04_CHUNK-0554_SUB-2,ACT-04_CHUNK-0554_SUB-2,True,0.0,0.0
Q_CIT_21,citation,REG-15_CHUNK-3001,REG-15_CHUNK-3001,True,0.0,0.0
Q_CIT_22,citation,ACT-16_CHUNK-1613,ACT-16_CHUNK-1613,True,0.0,0.0
Q_CIT_23,citation,REG-12_CHUNK-0757,REG-12_CHUNK-0757,True,0.0,0.0
Q_CIT_24,citation,REG-01_CHUNK-0980,REG-01_CHUNK-0980,True,0.0,0.0
Q_NAT_0,natural_language,REG-01_CHUNK-0452_SUB-2,REG-01_CHUNK-0452_SUB-2,True,0.0,0.0
Q_NAT_1,natural_language,REG-06_CHUNK-0916_SUB-1,REG-06_CHUNK-0916_SUB-1,True,0.0,0.0
Q_NAT_2,natural_language,ACT-07_CHUNK-8718,ACT-07_CHUNK-8718,True,0.0,0.0
Q_NAT_3,natural_language,ACT-15_CHUNK-0247,ACT-15_CHUNK-0247,True,0.0,0.0
Q_NAT_4,natural_language,ACT-16_CHUNK-0093,ACT-16_CHUNK-0093,True,0.0,0.0
Q_NAT_5,natural_language,REG-15_CHUNK-0545,REG-15_CHUNK-0545,True,0.0,0.0
Q_NAT_6,natural_language,REG-10_CHUNK-0911_SUB-1,REG-10_CHUNK-0911_SUB-1,True,0.0,0.0
Q_NAT_7,natural_language,ACT-12_CHUNK-0101,ACT-12_CHUNK-0101,True,0.0,0.0
Q_NAT_8,natural_language,IRS-08_CHUNK-0004,IRS-08_CHUNK-0004,True,0.0,0.0
Q_NAT_9,natural_language,ACT-04_CHUNK-0643,ACT-04_CHUNK-0643,True,0.0,0.0
Q_NAT_10,natural_language,IRS-21_CHUNK-0017,IRS-21_CHUNK-0017,True,0.0,0.0
Q_NAT_11,natural_language,IRS-06_CHUNK-1147,IRS-06_CHUNK-1147,True,0.0,0.0
Q_NAT_12,natural_language,IRS-20_CHUNK-0142,IRS-20_CHUNK-0142,True,0.0,0.0
Q_NAT_13,natural_language,REG-08_CHUNK-0637_SUB-2_SUB-1_SUB-24,REG-08_CHUNK-0637_SUB-2_SUB-1_SUB-24,True,0.0,0.0
Q_NAT_14,natural_language,ACT-07_CHUNK-1350_SUB-6,ACT-07_CHUNK-1350_SUB-6,True,0.0,0.0
Q_NAT_15,natural_language,REG-03_CHUNK-0284_SUB-11_SUB-16,REG-03_CHUNK-0284_SUB-11_SUB-16,True,0.0,0.0
Q_NAT_16,natural_language,IRS-21_CHUNK-0418,IRS-21_CHUNK-0418,True,0.0,0.0
Q_NAT_17,natural_language,REG-12_CHUNK-1083_SUB-2,REG-12_CHUNK-1083_SUB-2,True,0.0,0.0
Q_NAT_18,natural_language,REG-05_CHUNK-0551_SUB-2,REG-05_CHUNK-0551_SUB-2,True,0.0,0.0
Q_NAT_19,natural_language,ACT-17_CHUNK-0068,ACT-17_CHUNK-0068,True,0.0,0.0
Q_NAT_20,natural_language,ACT-16_CHUNK-0578_SUB-5,ACT-16_CHUNK-0578_SUB-5,True,0.0,0.0
Q_NAT_21,natural_language,ACT-07_CHUNK-3139_SUB-16,ACT-07_CHUNK-3139_SUB-16,True,0.0,0.0
Q_NAT_22,natural_language,REG-04_CHUNK-1619,REG-04_CHUNK-1619,True,0.0,0.0
Q_NAT_23,natural_language,ACT-17_CHUNK-0062_SUB-5,ACT-17_CHUNK-0062_SUB-5,True,0.0,0.0
Q_NAT_24,natural_language,REG-06_CHUNK-0492,REG-06_CHUNK-0492,True,0.0,0.0
